game_id,action_id,goal
2500098,17,False
2500098,40,False
2500098,77,False
2500098,140,False
2500098,145,False
2500098,309,False
2500098,322,False
2500098,366,False
2500098,379,False
2500098,433,False
2500098,442,False
2500098,465,True
2500098,486,False
2500098,551,False
2500098,609,False
2500098,736,False
2500098,766,False
2500098,840,True
2500098,925,False
2500098,930,False
2500098,934,False
2500098,941,True
2500098,953,False
2500098,979,False
2500098,983,False
2500098,1043,True
2500098,1068,False
2500098,1070,False
2500098,1144,False
2500097,40,True
2500097,74,True
2500097,132,False
2500097,139,False
2500097,159,False
2500097,168,True
2500097,190,False
2500097,225,False
2500097,233,False
2500097,266,False
2500097,304,False
2500097,390,False
2500097,422,False
2500097,444,False
2500097,494,False
2500097,569,False
2500097,576,True
2500097,589,True
2500097,646,False
2500097,684,False
2500097,692,True
2500097,769,False
2500097,792,False
2500097,811,False
2500097,823,False
2500097,848,True
2500097,873,True
2500097,876,False
2500097,880,False
2500097,956,False
2500097,1063,False
2500096,189,False
2500096,200,False
2500096,209,False
2500096,214,False
2500096,225,True
2500096,280,False
2500096,304,False
2500096,343,False
2500096,362,False
2500096,488,False
2500096,493,True
2500096,580,True
2500096,601,False
2500096,676,False
2500096,798,False
2500096,838,False
2500096,875,False
2500096,957,False
2500096,1017,False
2500096,1066,False
2500096,1070,False
2500096,1081,False
2500096,1093,False
2500096,1098,False
2500096,1104,False
2500096,1132,False
2500096,1134,False
2500096,1136,False
2500096,1201,False
2500096,1231,False
2500096,1233,False
2500096,1236,False
2500096,1293,False
2500096,1327,False
2500095,95,False
2500095,106,False
2500095,167,False
2500095,314,False
2500095,322,False
2500095,365,False
2500095,376,False
2500095,402,False
2500095,549,False
2500095,597,False
2500095,764,False
2500095,802,False
2500095,855,False
2500095,858,False
2500095,862,False
2500095,875,False
2500095,959,False
2500095,1080,False
2500095,1233,True
2500094,150,False
2500094,157,False
2500094,172,False
2500094,347,False
2500094,367,False
2500094,369,True
2500094,374,False
2500094,378,False
2500094,406,False
2500094,512,False
2500094,663,False
2500094,767,False
2500094,851,False
2500094,853,True
2500094,888,False
2500094,900,True
2500094,991,False
2500094,1006,False
2500094,1045,False
2500094,1156,False
2500094,1201,False
2500094,1279,False
2500093,146,False
2500093,178,False
2500093,234,False
2500093,411,False
2500093,451,True
2500093,578,False
2500093,583,False
2500093,648,False
2500093,657,False
2500093,979,False
2500093,1016,False
2500093,1060,False
2500093,1109,False
2500092,85,False
2500092,96,False
2500092,290,False
2500092,304,False
2500092,331,False
2500092,372,True
2500092,381,False
2500092,407,False
2500092,413,False
2500092,415,False
2500092,469,False
2500092,499,False
2500092,507,False
2500092,512,False
2500092,572,True
2500092,586,False
2500092,721,False
2500092,726,False
2500092,729,False
2500092,773,False
2500092,782,True
2500092,825,False
2500092,1221,True
2500091,35,False
2500091,52,False
2500091,60,False
2500091,62,False
2500091,141,False
2500091,183,False
2500091,263,False
2500091,267,False
2500091,362,False
2500091,367,False
2500091,400,False
2500091,506,True
2500091,774,False
2500091,776,False
2500091,787,False
2500091,848,False
2500091,854,False
2500091,912,False
2500091,984,False
2500091,1099,False
2500091,1107,False
2500091,1130,False
2500091,1147,False
2500091,1219,False
2500091,1239,False
2500091,1273,False
2500091,1301,False
2500090,95,False
2500090,141,False
2500090,173,False
2500090,266,False
2500090,388,False
2500090,390,False
2500090,601,False
2500090,747,False
2500090,830,False
2500090,833,False
2500090,841,False
2500090,925,False
2500090,1025,True
2500090,1092,False
2500090,1150,True
2500090,1160,False
2500090,1179,False
2500089,276,False
2500089,314,False
2500089,368,False
2500089,374,False
2500089,401,False
2500089,411,False
2500089,544,False
2500089,545,True
2500089,552,False
2500089,588,False
2500089,622,False
2500089,624,False
2500089,672,False
2500089,682,False
2500089,787,False
2500089,792,False
2500089,884,False
2500089,951,False
2500089,957,True
2500089,1050,False
2500089,1103,False
2500089,1112,False
2500089,1170,True
2500088,91,False
2500088,296,False
2500088,388,False
2500088,393,False
2500088,456,False
2500088,461,False
2500088,530,False
2500088,586,False
2500088,596,False
2500088,684,False
2500088,730,False
2500088,747,False
2500088,831,False
2500088,833,False
2500088,850,False
2500088,881,False
2500088,1067,False
2500088,1111,False
2500088,1119,False
2500088,1150,False
2500088,1155,True
2500088,1179,False
2500088,1188,False
2500088,1196,False
2500088,1198,False
2500087,37,True
2500087,79,False
2500087,81,False
2500087,83,False
2500087,234,False
2500087,446,False
2500087,467,True
2500087,504,False
2500087,615,False
2500087,617,False
2500087,822,False
2500087,829,True
2500087,854,False
2500087,1039,False
2500087,1063,False
2500087,1080,False
2500087,1177,False
2500087,1288,False
2500087,1309,False
2500087,1348,False
2500086,103,False
2500086,134,False
2500086,197,False
2500086,287,False
2500086,388,False
2500086,400,False
2500086,437,False
2500086,496,True
2500086,659,False
2500086,686,False
2500086,739,False
2500086,777,True
2500086,793,False
2500086,822,False
2500086,864,False
2500086,880,False
2500086,939,False
2500086,955,True
2500086,977,False
2500086,1024,False
2500085,101,False
2500085,155,False
2500085,161,False
2500085,181,False
2500085,258,False
2500085,408,False
2500085,486,False
2500085,545,False
2500085,590,False
2500085,986,False
2500085,997,False
2500085,1109,False
2500085,1149,False
2500085,1193,False
2500085,1218,False
2500085,1229,False
2500085,1251,False
2500085,1291,False
2500085,1329,False
2500084,79,False
2500084,163,False
2500084,204,False
2500084,244,False
2500084,477,False
2500084,515,False
2500084,537,False
2500084,549,True
2500084,600,False
2500084,607,False
2500084,633,False
2500084,677,False
2500084,700,False
2500084,720,False
2500084,883,False
2500084,892,True
2500084,915,False
2500084,957,False
2500084,1051,False
2500084,1085,False
2500084,1110,False
2500084,1116,False
2500084,1120,False
2500084,1122,False
2500084,1152,False
2500084,1171,False
2500083,52,False
2500083,194,False
2500083,291,False
2500083,369,False
2500083,375,False
2500083,419,False
2500083,494,False
2500083,717,True
2500083,763,False
2500083,809,False
2500083,961,False
2500083,984,False
2500083,1010,False
2500083,1018,False
2500083,1025,False
2500083,1108,False
2500083,1133,True
2500082,51,False
2500082,241,False
2500082,266,False
2500082,337,False
2500082,367,False
2500082,476,False
2500082,480,False
2500082,486,False
2500082,499,True
2500082,540,False
2500082,738,False
2500082,791,False
2500082,804,False
2500082,899,False
2500082,980,False
2500082,1218,False
2500082,1279,False
2500082,1402,False
2500082,1456,False
2500082,1474,False
2500081,97,False
2500081,102,False
2500081,107,False
2500081,170,False
2500081,224,False
2500081,325,False
2500081,382,False
2500081,388,False
2500081,453,False
2500081,456,False
2500081,619,False
2500081,725,False
2500081,798,False
2500081,843,True
2500081,973,False
2500081,996,False
2500081,1011,False
2500081,1060,False
2500081,1080,False
2500081,1128,False
2500081,1149,False
2500081,1168,False
2500081,1209,False
2500081,1239,False
2500081,1287,False
2500081,1315,False
2500080,136,False
2500080,256,True
2500080,488,False
2500080,499,False
2500080,621,False
2500080,690,True
2500080,726,False
2500080,753,False
2500080,844,True
2500080,849,False
2500080,919,False
2500080,952,False
2500080,962,True
2500080,1011,False
2500080,1070,False
2500080,1078,False
2500080,1091,True
2500080,1174,False
2500080,1318,False
2500079,67,False
2500079,155,False
2500079,157,False
2500079,162,False
2500079,191,False
2500079,213,False
2500079,257,False
2500079,293,False
2500079,375,False
2500079,447,False
2500079,513,True
2500079,556,False
2500079,628,False
2500079,642,False
2500079,670,False
2500079,783,False
2500079,804,False
2500079,849,False
2500079,900,False
2500079,949,False
2500079,955,False
2500079,1030,False
2500079,1091,False
2500079,1181,False
2500078,157,False
2500078,210,True
2500078,299,False
2500078,315,False
2500078,322,False
2500078,405,False
2500078,525,False
2500078,575,True
2500078,591,False
2500078,657,False
2500078,663,False
2500078,814,True
2500078,903,False
2500078,935,False
2500078,939,False
2500078,983,True
2500078,1226,False
2500078,1239,False
2500078,1246,False
2500078,1312,False
2500078,1417,False
2500077,3,False
2500077,56,False
2500077,122,False
2500077,253,True
2500077,299,False
2500077,383,False
2500077,458,False
2500077,514,False
2500077,532,False
2500077,534,False
2500077,593,False
2500077,625,False
2500077,717,True
2500077,829,False
2500077,940,False
2500077,962,False
2500077,1015,False
2500077,1149,False
2500077,1175,False
2500077,1185,False
2500077,1198,False
2500077,1234,False
2500077,1236,False
2500076,59,True
2500076,226,False
2500076,308,False
2500076,388,False
2500076,458,False
2500076,520,False
2500076,762,False
2500076,879,False
2500076,1159,False
2500076,1198,False
2500076,1210,False
2500076,1221,False
2500076,1280,False
2500076,1288,False
2500076,1296,False
2500076,1343,False
2500076,1411,False
2500076,1457,False
2500076,1470,False
2500075,194,False
2500075,196,False
2500075,388,True
2500075,455,False
2500075,468,False
2500075,481,False
2500075,499,False
2500075,517,False
2500075,564,False
2500075,568,False
2500075,584,True
2500075,682,False
2500075,712,False
2500075,714,False
2500075,729,True
2500075,761,False
2500075,829,False
2500075,918,False
2500075,920,False
2500075,948,False
2500075,959,False
2500075,1142,False
2500075,1165,False
2500075,1189,False
2500075,1191,False
2500075,1198,False
2500075,1208,False
2500075,1221,False
2500074,199,False
2500074,251,False
2500074,378,False
2500074,428,False
2500074,441,False
2500074,445,True
2500074,535,False
2500074,689,False
2500074,708,False
2500074,712,False
2500074,721,False
2500074,867,False
2500074,961,False
2500074,983,False
2500074,995,False
2500074,1051,False
2500074,1070,False
2500074,1076,False
2500074,1120,False
2500074,1155,False
2500074,1205,False
2500074,1248,False
2500074,1284,False
2500074,1359,False
2500073,71,False
2500073,130,False
2500073,263,False
2500073,287,False
2500073,289,True
2500073,339,False
2500073,390,False
2500073,489,False
2500073,607,False
2500073,648,False
2500073,739,False
2500073,830,False
2500073,868,True
2500073,898,False
2500073,902,False
2500073,933,False
2500073,1018,False
2500073,1124,False
2500073,1172,False
2500073,1255,False
2500073,1305,False
2500073,1372,False
2500073,1401,True
2500072,65,False
2500072,158,False
2500072,305,False
2500072,312,False
2500072,400,False
2500072,418,False
2500072,485,False
2500072,567,False
2500072,668,False
2500072,690,False
2500072,707,False
2500072,755,False
2500072,832,False
2500072,853,False
2500072,876,False
2500072,888,False
2500072,897,False
2500072,1104,False
2500072,1151,False
2500072,1154,False
2500072,1176,False
2500072,1216,False
2500072,1228,False
2500071,266,False
2500071,317,False
2500071,437,False
2500071,443,False
2500071,470,False
2500071,538,False
2500071,557,False
2500071,564,False
2500071,610,True
2500071,713,False
2500071,873,False
2500071,913,False
2500071,1089,True
2500071,1172,False
2500071,1298,False
2500070,25,False
2500070,45,False
2500070,76,False
2500070,107,False
2500070,121,False
2500070,225,False
2500070,253,True
2500070,340,False
2500070,429,False
2500070,519,True
2500070,694,False
2500070,727,False
2500070,776,False
2500070,922,False
2500070,945,False
2500070,963,False
2500070,1066,True
2500070,1103,False
2500070,1105,True
2500070,1117,False
2500070,1161,True
2500069,208,False
2500069,251,False
2500069,302,False
2500069,305,False
2500069,307,False
2500069,351,False
2500069,413,False
2500069,447,False
2500069,479,False
2500069,506,False
2500069,513,False
2500069,527,False
2500069,580,False
2500069,630,False
2500069,802,False
2500069,807,False
2500069,833,False
2500069,992,False
2500068,51,True
2500068,134,False
2500068,234,False
2500068,309,False
2500068,347,False
2500068,353,False
2500068,456,False
2500068,540,False
2500068,568,False
2500068,688,False
2500068,772,False
2500068,870,False
2500068,976,False
2500068,1013,True
2500068,1090,False
2500068,1092,True
2500068,1181,False
2500068,1194,False
2500068,1216,True
2500068,1263,False
2500067,31,False
2500067,54,False
2500067,294,False
2500067,296,False
2500067,306,False
2500067,381,False
2500067,406,False
2500067,448,False
2500067,484,False
2500067,498,False
2500067,521,False
2500067,691,False
2500067,749,False
2500067,759,False
2500067,782,False
2500067,796,False
2500067,902,False
2500067,913,False
2500066,13,False
2500066,35,False
2500066,154,True
2500066,214,False
2500066,218,False
2500066,264,False
2500066,321,False
2500066,326,False
2500066,422,False
2500066,681,False
2500066,685,False
2500066,773,False
2500066,778,True
2500066,822,False
2500066,825,False
2500066,913,False
2500066,949,False
2500066,1006,False
2500066,1055,False
2500066,1112,False
2500066,1115,False
2500066,1132,False
2500065,202,True
2500065,278,True
2500065,400,False
2500065,515,False
2500065,548,False
2500065,591,False
2500065,773,False
2500065,812,False
2500065,855,False
2500065,911,False
2500065,967,True
2500065,974,False
2500065,1096,False
2500065,1098,True
2500065,1300,False
2500065,1306,False
2500065,1317,False
2500065,1354,False
2500065,1378,False
2500065,1391,False
2500065,1438,False
2500065,1456,True
2500065,1490,False
2500064,93,False
2500064,221,False
2500064,223,False
2500064,247,False
2500064,282,False
2500064,409,False
2500064,530,False
2500064,576,False
2500064,798,False
2500064,800,False
2500064,804,False
2500064,973,False
2500064,1067,False
2500064,1179,False
2500064,1220,False
2500064,1223,False
2500063,35,False
2500063,248,False
2500063,330,False
2500063,379,False
2500063,478,False
2500063,514,False
2500063,565,False
2500063,673,False
2500063,726,False
2500063,748,True
2500063,760,False
2500063,776,False
2500063,898,False
2500063,982,False
2500063,1001,False
2500063,1039,False
2500062,111,False
2500062,170,False
2500062,218,False
2500062,495,False
2500062,734,False
2500062,800,False
2500062,815,True
2500062,991,True
2500062,1167,False
2500062,1195,False
2500062,1204,False
2500062,1243,False
2500062,1257,False
2500062,1294,False
2500062,1300,False
2500062,1304,False
2500062,1306,False
2500062,1347,False
2500062,1362,False
2500062,1375,False
2500062,1388,False
2500062,1390,False
